model,kernel,max_iter,C,mean_accuracy_score,mean_roc_auc_score,mean_confusion_matrix
svm,linear,10000,1E-09,0.3970721802,0.5059152598,"[[371.6, 654.0], [56.8, 96.4]]"
svm,linear,10000,5E-11,0.3285428551,0.5464446421,"[[274.0, 751.6], [40.0, 113.2]]"
svm,linear,10000,1E-14,0.2265029123,0.5504795852,"[[131.8, 893.8], [18.0, 135.2]]"
svm,linear,10000,1E-15,0.2248065595,0.5396217410,"[[129.8, 895.8], [18.0, 135.2]]"
svm,linear,10000,5E-10,0.3986661783,0.4936520241,"[[373.0, 652.6], [56.2, 97.0]]"
svm,linear,10000,5E-12,0.1506656905,0.5215741253,"[[25.2, 1000.4], [0.8, 152.4]]"
svm,linear,10000,1E-10,0.1764433674,0.4978602484,"[[63.0, 962.6], [8.2, 145.0]]"
svm,linear,10000,5E-15,0.2259940065,0.5472318190,"[[131.2, 894.4], [18.0, 135.2]]"
svm,linear,10000,5E-14,0.3532778259,0.5579385150,"[[308.0, 717.6], [44.6, 108.6]]"
svm,linear,10000,1E-13,0.2854756294,0.5498531052,"[[214.0, 811.6], [30.8, 122.4]]"
svm,linear,10000,1E-12,0.2796970855,0.5081509145,"[[206.8, 818.8], [30.4, 122.8]]"
svm,linear,10000,1E-11,0.2973362889,0.5194917795,"[[230.2, 795.4], [33.0, 120.2]]"
svm,linear,10000,5E-13,0.6830927301,0.4820040276,"[[768.8, 256.8], [116.8, 36.4]]"
svm,linear,100000,1E-15,0.2248065595,0.5396708628,"[[129.8, 895.8], [18.0, 135.2]]"
svm,linear,100000,1E-14,0.2265029123,0.5505682368,"[[131.8, 893.8], [18.0, 135.2]]"
svm,linear,100000,5E-14,0.2232778259,0.5410647792,"[[127.2, 898.4], [17.2, 136.0]]"
svm,linear,100000,1E-13,0.2210705511,0.5570201063,"[[124.0, 901.6], [16.6, 136.6]]"
svm,linear,100000,5E-15,0.2259940065,0.5472810135,"[[131.2, 894.4], [18.0, 135.2]]"
svm,linear,100000,5E-13,0.2139500382,0.5489533832,"[[112.4, 913.2], [13.4, 139.8]]"
svm,linear,100000,5E-12,0.4114275240,0.5236507569,"[[388.6, 637.0], [57.0, 96.2]]"
svm,linear,100000,1E-12,0.5353993975,0.5514290536,"[[558.2, 467.4], [80.4, 72.8]]"
svm,linear,100000,1E-11,0.4541896093,0.5073325372,"[[447.2, 578.4], [65.2, 88.0]]"
svm,linear,100000,5E-11,0.1811980458,0.5128973719,"[[67.4, 958.2], [7.0, 146.2]]"
svm,linear,100000,1E-10,0.1547382358,0.4960869533,"[[32.6, 993.0], [3.4, 149.8]]"
svm,linear,100000,5E-05,0.4513511884,0.4893605710,"[[444.4, 581.2], [65.6, 87.6]]"
svm,linear,100000,5E-02,0.5624835978,0.4974623966,"[[599.8, 425.8], [89.8, 63.4]]"
svm,linear,100000,5E-04,0.5486319813,0.5006822612,"[[582.6, 443.0], [89.2, 64.0]]"
svm,linear,100000,1E-01,0.6309207782,0.5001949318,"[[699.8, 325.8], [109.2, 44.0]]"
