model,kernel,max_iter,C,log C,mean_accuracy_score,mean_roc_auc_score,mean_confusion_matrix
svm,linear,1000,5.00E+03,3.70E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,1.00E-03,-3.00E+00,0.651700955,0.5,"[[727.2, 298.4], [112.2, 41.0]]"
svm,linear,1000,1.00E+01,1.00E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,5.00E+06,6.70E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,1.00E-01,-1.00E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,1.00E+06,6.00E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,1.00E+10,1.00E+01,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,5.00E+05,5.70E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,5.00E+04,4.70E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,5.00E+01,1.70E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,1.00E+05,5.00E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,1.00E+09,9.00E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,5.00E-01,-3.01E-01,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,5.00E+00,6.99E-01,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,1.00E-02,-2.00E+00,0.443896589,0.5,"[[431.4, 594.2], [61.4, 91.8]]"
svm,linear,1000,5.00E+08,8.70E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,5.00E-03,-2.30E+00,0.374007429,0.5,"[[336.0, 689.6], [48.4, 104.8]]"
svm,linear,1000,1.00E-05,-5.00E+00,0.453650609,0.495336926,"[[448.6, 577.0], [67.0, 86.2]]"
svm,linear,1000,1.00E+08,8.00E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,1.00E+07,7.00E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,5.00E+10,1.07E+01,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,5.00E+09,9.70E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,5.00E+07,7.70E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,5.00E-06,-5.30E+00,0.504473093,0.5,"[[517.0, 508.6], [75.6, 77.6]]"
svm,linear,1000,1.00E-06,-6.00E+00,0.51148934,0.496103913,"[[521.8, 503.8], [72.2, 81.0]]"
svm,linear,1000,5.00E-07,-6.30E+00,0.370288693,0.500902509,"[[333.6, 692.0], [50.2, 103.0]]"
svm,linear,1000,1.00E-07,-7.00E+00,0.440499846,0.495421257,"[[432.6, 593.0], [66.4, 86.8]]"
svm,linear,1000,5.00E-08,-7.30E+00,0.395983928,0.495885223,"[[373.4, 652.2], [59.8, 93.4]]"
svm,linear,1000,1.00E-08,-8.00E+00,0.439633824,0.50869105,"[[427.2, 598.4], [62.0, 91.2]]"
svm,linear,1000,5.00E-09,-8.30E+00,0.339819714,0.494647854,"[[287.8, 737.8], [40.4, 112.8]]"
svm,linear,1000,1.00E-09,-9.00E+00,0.536854714,0.521478938,"[[564.2, 461.4], [84.6, 68.6]]"
svm,linear,1000,5.00E-10,-9.30E+00,0.20103314,0.482255393,"[[96.8, 928.8], [13.0, 140.2]]"
svm,linear,1000,1.00E-10,-1.00E+01,0.300056784,0.497022839,"[[232.8, 792.8], [32.4, 120.8]]"
svm,linear,10000,1.00E-02,-2.00E+00,0.3594067,0.5,"[[314.6, 711.0], [44.2, 109.0]]"
svm,linear,10000,5.00E-03,-2.30E+00,0.449150241,0.5,"[[442.6, 583.0], [66.4, 86.8]]"
svm,linear,10000,5.00E+01,1.70E+00,0.633205092,0.5,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,1.00E+01,1.00E+00,0.633205092,0.497027609,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,1.00E-01,-1.00E+00,0.543048837,0.5,"[[574.0, 451.6], [87.0, 66.2]]"
svm,linear,10000,5.00E-01,-3.01E-01,0.541014939,0.499317073,"[[571.2, 454.4], [86.6, 66.6]]"
svm,linear,10000,1.00E+00,0.00E+00,0.633205092,0.5,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,1.00E+03,3.00E+00,0.633205092,0.499415205,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,5.00E-02,-1.30E+00,0.392562228,0.499920293,"[[356.2, 669.4], [46.6, 106.6]]"
svm,linear,10000,5.00E+03,3.70E+00,0.633205092,0.500487329,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,5.00E+00,6.99E-01,0.633205092,0.5,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,1.00E+04,4.00E+00,0.633205092,0.5,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,5.00E+06,6.70E+00,0.633205092,0.500487329,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,5.00E+04,4.70E+00,0.633205092,0.5,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,5.00E-04,-3.30E+00,0.37680441,0.5,"[[335.6, 690.0], [44.6, 108.6]]"
svm,linear,10000,1.00E+02,2.00E+00,0.633205092,0.5,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,1.00E+05,5.00E+00,0.633205092,0.500584795,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,1.00E-03,-3.00E+00,0.636332559,0.501812821,"[[705.0, 320.6], [108.2, 45.0]]"
svm,linear,10000,1.00E+06,6.00E+00,0.633205092,0.500487329,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,5.00E+02,2.70E+00,0.633205092,0.500487329,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,1.00E+07,7.00E+00,0.633205092,0.5,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,1.00E+08,8.00E+00,0.633205092,0.5,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,5.00E+07,7.70E+00,0.633205092,0.5,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,5.00E+05,5.70E+00,0.633205092,0.500584795,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,1.00E-04,-4.00E+00,0.641956429,0.492934162,"[[714.8, 310.8], [111.2, 42.0]]"
svm,linear,10000,5.00E+08,8.70E+00,0.633205092,0.500487329,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,5.00E-05,-4.30E+00,0.389371814,0.5,"[[353.6, 672.0], [47.8, 105.4]]"
svm,linear,10000,1.00E-05,-5.00E+00,0.636258808,0.511111626,"[[705.6, 320.0], [108.8, 44.4]]"
svm,linear,10000,1.00E+09,9.00E+00,0.633205092,0.5,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,5.00E+09,9.70E+00,0.633205092,0.5,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,5.00E-06,-5.30E+00,0.456433633,0.493962211,"[[451.0, 574.6], [66.2, 87.0]]"
svm,linear,10000,1.00E+10,1.00E+01,0.633205092,0.5,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,5.00E+10,1.07E+01,0.633205092,0.5,"[[703.0, 322.6], [109.8, 43.4]]"
svm,linear,10000,1.00E-06,-6.00E+00,0.540745647,0.500153826,"[[573.4, 452.2], [89.2, 64.0]]"
svm,linear,10000,5.00E-07,-6.30E+00,0.445409204,0.5,"[[437.2, 588.4], [65.4, 87.8]]"
svm,linear,10000,1.00E-07,-7.00E+00,0.621426095,0.498568861,"[[683.0, 342.6], [103.6, 49.6]]"
svm,linear,10000,5.00E-08,-7.30E+00,0.633201204,0.496741601,"[[702.2, 323.4], [109.0, 44.2]]"
svm,linear,10000,1.00E-08,-8.00E+00,0.441607216,0.504592701,"[[431.4, 594.2], [64.0, 89.2]]"
svm,linear,10000,5.00E-09,-8.30E+00,0.234624681,0.507599154,"[[140.8, 884.8], [17.4, 135.8]]"
svm,linear,10000,1.00E-09,-9.00E+00,0.423402653,0.498437369,"[[410.4, 615.2], [64.6, 88.6]]"
svm,linear,10000,5.00E-10,-9.30E+00,0.17511175,0.50099582,"[[62.0, 963.6], [8.8, 144.4]]"
svm,linear,10000,1.00E-10,-1.00E+01,0.300792655,0.510953455,"[[234.4, 791.2], [33.0, 120.2]]"
svm,linear,100000,1.00E-10,-1.00E+01,0.151690126,0.512274335,"[[28.6, 997.0], [3.0, 150.2]]"
svm,linear,100000,5.00E-10,-9.30E+00,0.382486995,0.50166894,"[[353.0, 672.6], [55.4, 97.8]]"
svm,linear,100000,5.00E-03,-2.30E+00,0.471448209,0.5,"[[471.0, 554.6], [68.6, 84.6]]"
svm,linear,100000,1.00E-03,-3.00E+00,0.629563259,0.483702556,"[[696.6, 329.0], [107.6, 45.6]]"
svm,linear,100000,1.00E+02,2.00E+00,0.390028044,0.498455603,"[[353.0, 672.6], [46.4, 106.8]]"
svm,linear,100000,5.00E+02,2.70E+00,0.483406652,0.500878049,"[[484.0, 541.6], [67.4, 85.8]]"
svm,linear,100000,1.00E+05,5.00E+00,0.390028044,0.498269409,"[[353.0, 672.6], [46.4, 106.8]]"
svm,linear,100000,1.00E+07,7.00E+00,0.390028044,0.498477759,"[[353.0, 672.6], [46.4, 106.8]]"
svm,linear,100000,1.00E+06,6.00E+00,0.390028044,0.499919018,"[[353.0, 672.6], [46.4, 106.8]]"
svm,linear,100000,1.00E-04,-4.00E+00,0.38121953,0.497659202,"[[342.8, 682.8], [46.6, 106.6]]"
svm,linear,100000,1.00E-01,-1.00E+00,0.65474532,0.500390529,"[[730.0, 295.6], [111.4, 41.8]]"
svm,linear,100000,5.00E-01,-3.01E-01,0.402760339,0.5,"[[369.2, 656.4], [47.6, 105.6]]"
svm,linear,100000,1.00E+01,1.00E+00,0.575596948,0.49713311,"[[615.6, 410.0], [90.4, 62.8]]"
svm,linear,100000,5.00E+03,3.70E+00,0.390028044,0.501156066,"[[353.0, 672.6], [46.4, 106.8]]"
