time,model,kernel,max_iter,C,mean_accuracy_score,mean_roc_auc_score,mean_confusion_matrix
17:52:30.441,svm,linear,100,1E+11,0.3477048833,0.4850145066,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:30.513,svm,linear,100,1E+09,0.3477048833,0.4850208832,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:30.609,svm,linear,100,1E-15,0.1352228320,0.4889760967,"[[6.2, 1019.4], [0.0, 153.2]]"
17:52:30.624,svm,linear,100,5E+12,0.3477048833,0.4850094054,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:30.691,svm,linear,100,5E+09,0.3477048833,0.4850208832,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:30.793,svm,linear,100,5E-15,0.1352228320,0.4669615647,"[[6.2, 1019.4], [0.0, 153.2]]"
17:52:30.822,svm,linear,100,1E-14,0.1352228320,0.4659280313,"[[6.2, 1019.4], [0.0, 153.2]]"
17:52:30.831,svm,linear,100,5E+14,0.3477048833,0.4850094054,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:30.863,svm,linear,100,1E+13,0.3477048833,0.4850094054,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:30.884,svm,linear,100,5E-11,0.1527062110,0.4833394458,"[[27.8, 997.8], [1.0, 152.2]]"
17:52:30.879,svm,linear,100,1E-08,0.6622951047,0.5335438370,"[[741.8, 283.8], [114.2, 39.0]]"
17:52:30.883,svm,linear,100,1E+14,0.3477048833,0.4850094054,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:30.879,svm,linear,100,5E+13,0.3477048833,0.4850094054,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:30.907,svm,linear,100,5E-13,0.1347139261,0.4686302698,"[[5.6, 1020.0], [0.0, 153.2]]"
17:52:30.935,svm,linear,100,1E+12,0.3477048833,0.4850100430,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:30.986,svm,linear,100,5E-09,0.2878273487,0.4918477413,"[[215.6, 810.0], [29.6, 123.6]]"
17:52:30.987,svm,linear,100,1E-10,0.1367489743,0.4885624716,"[[8.0, 1017.6], [0.0, 153.2]]"
17:52:31.014,svm,linear,100,5E-14,0.1352228320,0.4606148896,"[[6.2, 1019.4], [0.0, 153.2]]"
17:52:31.017,svm,linear,100,1E-12,0.1347139261,0.4758327465,"[[5.6, 1020.0], [0.0, 153.2]]"
17:52:31.316,svm,linear,100,1E-13,0.1352228320,0.4620099023,"[[6.2, 1019.4], [0.0, 153.2]]"
17:52:31.460,svm,linear,100,1E+15,0.3477048833,0.5000000000,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:31.466,svm,linear,100,1E-09,0.1554166322,0.4825618837,"[[32.4, 993.2], [2.4, 150.8]]"
17:52:31.498,svm,linear,100,5E+15,0.3477048833,0.5000000000,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:31.579,svm,linear,100,1E-11,0.1396362297,0.4846656067,"[[11.6, 1014.0], [0.2, 153.0]]"
17:52:31.749,svm,linear,100,5E-10,0.3058476096,0.5200845290,"[[242.4, 783.2], [35.0, 118.2]]"
17:52:32.585,svm,linear,100,5E-12,0.1392969589,0.4809149533,"[[11.2, 1014.4], [0.2, 153.0]]"
17:52:38.052,svm,linear,1000,1E-04,0.5814155794,0.4999025341,"[[628.6, 397.0], [96.4, 56.8]]"
17:52:38.163,svm,linear,1000,5E+00,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:38.225,svm,linear,1000,1E-01,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:38.230,svm,linear,1000,5E-03,0.4571144773,0.5000000000,"[[453.6, 572.0], [68.0, 85.2]]"
17:52:38.333,svm,linear,1000,5E+02,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:38.411,svm,linear,1000,5E-05,0.3461675115,0.5028500809,"[[298.2, 727.4], [43.4, 109.8]]"
17:52:38.498,svm,linear,1000,1E-03,0.6396495136,0.4988474975,"[[704.6, 321.0], [103.8, 49.4]]"
17:52:38.711,svm,linear,1000,5E-01,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:38.811,svm,linear,1000,5E+06,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:38.944,svm,linear,1000,1E+02,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:38.946,svm,linear,1000,5E+03,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:38.978,svm,linear,1000,5E+01,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:39.033,svm,linear,1000,1E+00,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:39.112,svm,linear,1000,5E+04,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:39.115,svm,linear,1000,5E-04,0.6703533555,0.5012727853,"[[751.2, 274.4], [114.2, 39.0]]"
17:52:39.145,svm,linear,1000,1E+01,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:39.165,svm,linear,1000,5E+05,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
