FEATURE,DIFF MEAN,P VALUE,T VALUE
text_num_swears,-0.11563927199591431116,0.00282836836204724152,-2.98705738725803726652
user_statuses_count_per_day,+0.11538841648863877587,0.00288890023060453353,+2.98056780274654986584
user_description_num_non_a_to_z,+0.11494325324903310881,0.00299923689022872598,+2.96905167098084632471
user_description_num_caps,+0.11451246165978520852,0.00310965737703582275,+2.95790751662524042942
user_description_num_non_a_to_z_non_digits,+0.11450775204383316364,0.00311088476024148431,+2.95778568452991841298
user_description_num_caps_with_num_nonstandard,+0.11436899441480700979,0.00314724544039675846,+2.95419620171281405163
user_profile_use_background_image,+0.11084096366557143198,0.00421215183874502387,+2.86293698424922649082
user_screen_name_num_digits_underscores,+0.11056087351515911377,0.00430932407291492996,+2.85569244490447982088
user_screen_name_num_weird_chars,+0.11056087351515911377,0.00430932407291492996,+2.85569244490447982088
user_listed_count,-0.09905469768136185293,0.01054790630598751063,-2.55814851799028275536
user_favourites_count_per_day,+0.09895846474019305561,0.01062353169622798701,+2.55566048675217283304
user_name_has_weird_chars,+0.09453468128618650046,0.01466390719685074090,+2.44129540958591695343
user_name_has_underscores,+0.08992988744215774100,0.02025241432449593690,+2.32226803187070451884
user_name_has_digits_underscores,+0.08589810498850036780,0.02658832483519989187,+2.21806595394656191900
user_description_num_nonstandard,+0.08409640473591906140,0.02993281139725200921,+2.17150471079279405728
user_friends_count,+0.08304410389605655640,0.03204874419941486363,+2.14431126773140645625
user_default_profile,+0.08037606224880716743,0.03799576178479912442,+2.07536761980416706308
created_at_hour_of_week,-0.07944833966495806754,0.04027251939954344662,-2.05139594789903911831
user_created_at_delta,-0.07819152012009293606,0.04354057435920306168,-2.01892160694178324221
user_statuses_count,+0.07673465394441032761,0.04760632681384598108,+1.98127971414701287145
created_at_weekday,-0.07436601060722848600,0.05489567292437259188,-1.92008274514383447951
user_name_has_nonprintable_chars,+0.06809403252129539452,0.07878999542386135035,+1.75805542736152742300
user_favourites_count,+0.06804661046655474665,0.07899865235454697765,+1.75683044059637549772
num_mentions,+0.06482263330321585970,0.09427154344597162006,+1.67355310232788268010
text_num_nonstandard,+0.06313337216835400445,0.10317168793059404430,+1.62992081178350156634
tweet_id,+0.06304995082917001781,0.10362794925576854221,+1.62776614526509466607
user_screen_name_has_digits_underscores,+0.06063933552245386049,0.11751832452650237681,+1.56550467540210913597
user_screen_name_has_weird_chars,+0.06063933552245386049,0.11751832452650237681,+1.56550467540210913597
user_description_num_nonstandard_extended,+0.05402165264402668948,0.16318955311498115068,+1.39459840311684035719
user_name_has_caps_digits,+0.05337780511968100855,0.16826434210917781686,+1.37797173956970309128
num_mentions_is_more_than_2,+0.05234338425320303467,0.17666424979961575792,+1.35125934836062966404
text_num_nonstandard_extended,+0.04855331263981357143,0.21011337294653809060,+1.25339046584546021101
user_name_has_caps,+0.04582215047664466023,0.23690878845441876166,+1.18286902094478341141
created_at_hour,-0.04514084602497459714,0.24395385387751294948,-1.16527750571188248863
user_name_num_digits_underscores,+0.04356527549971106472,0.26080589854854979714,+1.12459643139452292182
user_name_num_weird_chars,+0.04263288763544760551,0.27114939598233323004,+1.10052271785550215277
user_name_num_nonprintable_chars,+0.04176956098011016388,0.28097418974511001455,+1.07823241430012117803
user_name_has_caps_underscores,+0.04063264084496266693,0.29427702016733714441,+1.04887859280968775977
user_description_num_digits,+0.03975615119831630434,0.30481632729323121511,+1.02624906765249090945
user_name_has_caps_digits_underscores,+0.03942145614965842509,0.30890613237491137966,+1.01760786133149405686
num_hashtags_is_nonzero,+0.03764560506308138599,0.33121019136142093586,+0.97175931427093664716
user_name_num_digits,+0.03600145762947921935,0.35276549231467313472,+0.92931199236783879059
user_name_num_underscores,+0.03334159017267016717,0.38946950124127421855,+0.86064338750958002677
geo_coordinates,+0.02914732733574475904,0.45186097138484271341,+0.75236611853918100579
num_hashtags,+0.02914732733574475904,0.45186097138484271341,+0.75236611853918100579
user_screen_name_has_underscores,-0.02889750714864568193,0.45574730213312364402,-0.74591701711352520476
user_screen_name_num_underscores,-0.02755230913412306734,0.47699401643818417629,-0.71119103453839893625
retweet_count_per_day,+0.02687731715371507665,0.48785604461791132191,+0.69376643503727675188
retweet_count,-0.02474708987471913382,0.52299328861291960457,-0.63877631348583419069
user_name_has_digits,+0.02243861643989533000,0.56248580648111279334,+0.57918601693206117620
user_name_num_caps_digits_underscores,+0.02101363535765295165,0.58756178677826875756,+0.54240247783598560805
user_name_num_caps_underscores,+0.01566177392658273104,0.68603906159413663435,+0.40425612076874867240
user_default_profile_image,+0.01405991529310672734,0.71668622458125308405,+0.36290854037302983093
text_num_exclam,-0.00909481531089682826,0.81441095787411010853,-0.23474997021671648034
user_name_num_caps_digits,+0.00900866819229034256,0.81613728320399336891,+0.23252637146262444823
user_name_num_caps,+0.00290650440159976979,0.94020082866916820930,+0.07502065006393934810
